Location,Property_Type,Bedrooms,Bathrooms,Size_SQM,Amenities,Price_KES,Listing_Type,Listing_Date,Price_Per_SQM,Amenity_Score,Listing_Month,Distance_to_CBD_KM
Kileleshwa,Apartment,3,2,120,"Security, Parking",130000,For Rent,2025-12-30,1083.3333333333333,2,12,4.2
Kenpipe Gardens,Townhouse,3,3,120,"Security, Parking",10000000,For Sale,2025-12-11,83333.33333333333,2,12,10.0
Kitengela,House,3,3,120,"Security, Parking",10500000,For Sale,2026-02-07,87500.0,2,2,10.0
Vipingo Drive,House,3,3,120,"Security, Parking",40000000,For Sale,2025-12-02,333333.3333333333,2,12,10.0
Nairobi West,Apartment,3,2,120,"Security, Parking",50000,For Rent,2026-01-19,416.6666666666667,2,1,10.0
Riverside,Apartment,3,3,418,"Security, Parking",110000,For Rent,2025-12-28,263.1578947368421,2,12,2.5
Ruiru,House,3,3,120,"Security, Parking",6300000,For Sale,2025-12-24,52500.0,2,12,10.0
Kiambu Rd,Apartment,3,3,120,"Security, Parking",55000,For Rent,2026-01-02,458.3333333333333,2,1,10.0
Ngong,Apartment,1,1,50,"Security, Parking",16000,For Rent,2026-02-14,320.0,2,2,10.0
Lavington,Townhouse,5,5,250,"Security, Parking",75000000,For Sale,2026-01-04,300000.0,2,1,4.5
Loresho,Townhouse,4,4,180,"Security, Parking",130000000,For Sale,2025-11-25,722222.2222222222,2,11,7.5
Nairobi Namanga,Townhouse,3,3,120,"Security, Parking",12000000,For Sale,2026-02-11,100000.0,2,2,10.0
Valley Arcade,Apartment,3,4,260,"Security, Parking",100000,For Rent,2026-01-25,384.61538461538464,2,1,10.0
Kiambu Road,Townhouse,4,4,180,"Security, Parking",32000000,For Sale,2025-12-01,177777.77777777778,2,12,8.8
Westlands,Villa,5,5,250,"Security, Parking",55000000,For Sale,2026-01-05,220000.0,2,1,5.2
Nyari,House,5,5,250,"Security, Parking",145000000,For Sale,2025-12-17,580000.0,2,12,10.0
Zambia Road,Apartment,3,3,120,"Security, Parking",50000,For Rent,2025-12-17,416.6666666666667,2,12,10.0
Fahari Palace Apartments,Apartment,1,1,50,"Security, Parking",100000,For Rent,2025-11-28,2000.0,2,11,10.0
Kilimani,House,4,4,180,"Security, Parking",36000000,For Sale,2025-12-07,200000.0,2,12,3.8
Nairobi,House,6,6,250,"Security, Parking",295000000,For Sale,2025-11-25,1180000.0,2,11,10.0
Westlands,Apartment,3,3,120,"Security, Parking",170000,For Rent,2025-12-15,1416.6666666666667,2,12,5.2
Kilimani,Apartment,3,4,300,"Security, Parking",140000,For Rent,2025-12-22,466.6666666666667,2,12,3.8
Fair Acre Road,House,4,4,180,"Security, Parking",65000000,For Sale,2025-12-10,361111.1111111111,2,12,10.0
Vipingo,House,4,4,180,"Security, Parking",25000000,For Sale,2026-02-14,138888.88888888888,2,2,10.0
Kileleshwa,Apartment,1,1,50,"Security, Parking",100000,For Rent,2026-01-12,2000.0,2,1,4.2
Chalbi Drive,House,4,4,180,"Security, Parking",66000000,For Sale,2026-02-14,366666.6666666667,2,2,10.0
Kilimani,Apartment,2,2,80,"Security, Parking",60000,For Rent,2026-02-11,750.0,2,2,3.8
Mugumo Road,Townhouse,5,5,250,"Security, Parking",75000000,For Sale,2025-12-05,300000.0,2,12,10.0
Syokimau,Apartment,2,2,80,"Security, Parking",28000,For Rent,2025-12-16,350.0,2,12,18.5
Lower Kabete,Townhouse,5,5,250,"Security, Parking",260000000,For Sale,2026-02-08,1040000.0,2,2,10.0
Thindigua,Apartment,3,3,120,"Security, Parking",65000,For Rent,2026-01-02,541.6666666666666,2,1,10.0
Kileleshwa,House,3,3,120,"Security, Parking",45000000,For Sale,2026-02-12,375000.0,2,2,4.2
Kisumu,Townhouse,6,6,250,"Security, Parking",70000000,For Sale,2025-12-02,280000.0,2,12,10.0
Coffee Gardens - Muthaiga North,House,4,4,180,"Security, Parking",115000000,For Sale,2025-12-20,638888.8888888889,2,12,10.0
South B,House,4,4,180,"Security, Parking",28500000,For Sale,2025-12-16,158333.33333333334,2,12,5.8
Lavington,Townhouse,5,5,250,"Security, Parking",65000000,For Sale,2026-01-08,260000.0,2,1,4.5
Acacia,House,5,5,250,"Security, Parking",11000000,For Sale,2026-01-22,44000.0,2,1,10.0
Nyali Area,Townhouse,4,4,180,"Security, Parking",110000000,For Sale,2025-11-29,611111.1111111111,2,11,10.0
Citymall,House,4,4,180,"Security, Parking",56000000,For Sale,2025-12-28,311111.1111111111,2,12,10.0
Westlands,Apartment,4,4,180,"Security, Parking",130000,For Rent,2026-01-16,722.2222222222222,2,1,5.2
Runda,House,5,5,250,"Security, Parking",100000000,For Sale,2026-01-04,400000.0,2,1,9.8
Buruburu,House,3,3,120,"Security, Parking",10000000,For Sale,2026-02-05,83333.33333333333,2,2,7.9
Kileleshwa,Apartment,2,2,140,"Security, Parking",70000,For Rent,2025-12-12,500.0,2,12,4.2
Ngong,Townhouse,4,4,180,"Security, Parking",17500000,For Sale,2026-01-01,97222.22222222222,2,1,10.0
Bofa,Villa,4,4,180,"Security, Parking",140000000,For Sale,2026-01-23,777777.7777777778,2,1,10.0
Mbaazi,Apartment,2,2,80,"Security, Parking",80000,For Rent,2026-02-02,1000.0,2,2,10.0
Kyuna,Apartment,3,3,120,"Security, Parking",150000,For Rent,2026-01-03,1250.0,2,1,10.0
1,Apartment,3,4,270,"Security, Parking",150000,For Rent,2025-11-20,555.5555555555555,2,11,10.0
Lavington,Townhouse,5,5,250,"Security, Parking",95000000,For Sale,2025-11-22,380000.0,2,11,4.5
Westlands,Apartment,3,3,120,"Security, Parking",150000,For Rent,2025-12-12,1250.0,2,12,5.2
Nyali Area,Townhouse,3,3,120,"Security, Parking",20000000,For Sale,2025-11-25,166666.66666666666,2,11,10.0
Loresho,Townhouse,4,4,180,"Security, Parking",150000000,For Sale,2025-11-22,833333.3333333334,2,11,7.5
Lavington,Townhouse,4,4,180,"Security, Parking",68000000,For Sale,2026-02-10,377777.77777777775,2,2,4.5
Fourways Junction Estate,House,4,4,180,"Security, Parking",29000000,For Sale,2025-12-12,161111.11111111112,2,12,10.0
Ruiru,House,4,4,180,"Security, Parking",10500000,For Sale,2026-01-24,58333.333333333336,2,1,10.0
Westlands,Apartment,4,3,180,"Security, Parking",130000,For Rent,2026-02-14,722.2222222222222,2,2,5.2
Kikambala Road,Apartment,2,2,80,"Security, Parking",70000,For Rent,2026-01-24,875.0,2,1,10.0
Lower Kabete,House,5,5,250,"Security, Parking",150000000,For Sale,2026-01-30,600000.0,2,1,10.0
Laikipia Rd,Apartment,2,2,80,"Security, Parking",120000,For Rent,2026-01-10,1500.0,2,1,10.0
Kitengela,House,5,5,250,"Security, Parking",16499000,For Sale,2026-02-04,65996.0,2,2,10.0
Vipingo,Villa,5,5,250,"Security, Parking",100000000,For Sale,2026-02-07,400000.0,2,2,10.0
Nyali Area,Townhouse,4,4,180,"Security, Parking",35000000,For Sale,2025-12-02,194444.44444444444,2,12,10.0
Garden Estate,House,4,4,180,"Security, Parking",55000000,For Sale,2026-01-02,305555.55555555556,2,1,10.0
Ngumo Central,Apartment,1,1,50,"Security, Parking",27000,For Rent,2026-02-02,540.0,2,2,10.0
Nyali Area,House,5,5,250,"Security, Parking",70000000,For Sale,2026-01-30,280000.0,2,1,10.0
Riverside Place Apartment,Apartment,3,3,120,"Security, Parking",125000,For Rent,2026-01-17,1041.6666666666667,2,1,10.0
Kilimani,Apartment,3,4,300,"Security, Parking",100000,For Rent,2025-12-02,333.3333333333333,2,12,3.8
6Th Parklands,Apartment,3,3,260,"Security, Parking",165000,For Rent,2025-12-26,634.6153846153846,2,12,10.0
Westlands,House,4,4,180,"Security, Parking",38000000,For Sale,2025-12-03,211111.11111111112,2,12,5.2
Kiambu Road,Villa,4,4,180,"Security, Parking",29400000,For Sale,2026-02-13,163333.33333333334,2,2,8.8
Langata,Townhouse,5,5,250,"Security, Parking",27000000,For Sale,2026-01-13,108000.0,2,1,11.3
Kileleshwa,Apartment,3,2,120,"Security, Parking",140000,For Rent,2026-01-03,1166.6666666666667,2,1,4.2
Ruiru,House,3,3,120,"Security, Parking",8500000,For Sale,2025-12-31,70833.33333333333,2,12,10.0
O,House,7,7,250,"Security, Parking",170000000,For Sale,2026-02-10,680000.0,2,2,10.0
Suguta Road,Apartment,1,1,50,"Security, Parking",90000,For Rent,2026-02-16,1800.0,2,2,10.0
Karen,Apartment,2,3,80,"Security, Parking",150000,For Rent,2026-01-13,1875.0,2,1,13.5
Kitengela,House,3,3,120,"Security, Parking",6400000,For Sale,2026-01-22,53333.333333333336,2,1,10.0
Membley,Villa,4,4,180,"Security, Parking",18500000,For Sale,2026-01-19,102777.77777777778,2,1,10.0
Diani,House,3,3,120,"Security, Parking",25000000,For Sale,2025-11-28,208333.33333333334,2,11,10.0
Near Nairobi Jaffery School,Villa,6,6,250,"Security, Parking",150000000,For Sale,2026-01-01,600000.0,2,1,10.0
Westlands,Apartment,3,2,120,"Security, Parking",115000,For Rent,2025-12-22,958.3333333333334,2,12,5.2
Brookside,Apartment,3,3,120,"Security, Parking",140000,For Rent,2026-01-31,1166.6666666666667,2,1,10.0
Riverside,Apartment,1,2,50,"Security, Parking",90000,For Rent,2026-02-08,1800.0,2,2,2.5
Lavington,Townhouse,6,6,250,"Security, Parking",55000000,For Sale,2025-12-04,220000.0,2,12,4.5
Grivelia Grove Westland,Townhouse,4,4,180,"Security, Parking",48000000,For Sale,2025-12-16,266666.6666666667,2,12,10.0
Aloo Drive,Villa,4,4,180,"Security, Parking",35000000,For Sale,2026-01-31,194444.44444444444,2,1,10.0
Lavington,House,6,6,250,"Security, Parking",121000000,For Sale,2026-01-03,484000.0,2,1,4.5
Kilimani,Apartment,3,3,120,"Security, Parking",130000,For Rent,2025-12-15,1083.3333333333333,2,12,3.8
Non,Villa,4,4,180,"Security, Parking",150000000,For Sale,2025-12-11,833333.3333333334,2,12,10.0
Ngong,Villa,4,4,180,"Security, Parking",14500000,For Sale,2025-12-31,80555.55555555556,2,12,10.0
Kilimani,Apartment,2,2,80,"Security, Parking",110000,For Rent,2025-12-29,1375.0,2,12,3.8
Makueni Rd,Apartment,3,4,180,"Security, Parking",130000,For Rent,2026-01-22,722.2222222222222,2,1,10.0
Acacia,House,4,4,180,"Security, Parking",6000000,For Sale,2026-02-11,33333.333333333336,2,2,10.0
Karen,Apartment,2,2,80,"Security, Parking",100000,For Rent,2026-01-24,1250.0,2,1,13.5
Kilimani,Apartment,2,2,80,"Security, Parking",150000,For Rent,2026-01-11,1875.0,2,1,3.8
Mamba Village,Apartment,3,2,2500,"Security, Parking",35000,For Rent,2026-01-29,14.0,2,1,10.0
Kyuna Close,Townhouse,6,6,250,"Security, Parking",295000000,For Sale,2026-01-29,1180000.0,2,1,10.0
Kikambala,Villa,4,4,180,"Security, Parking",85000000,For Sale,2025-12-08,472222.22222222225,2,12,10.0
1,Villa,4,4,180,"Security, Parking",10500000,For Sale,2026-01-27,58333.333333333336,2,1,10.0
Rhapta Rd,Apartment,3,3,120,"Security, Parking",115000,For Rent,2025-12-25,958.3333333333334,2,12,10.0
Mtwapa,Townhouse,3,3,120,"Security, Parking",6500000,For Sale,2025-11-23,54166.666666666664,2,11,10.0
Westlands,Apartment,3,3,120,"Security, Parking",90000,For Rent,2025-12-20,750.0,2,12,5.2
Kilimani,Apartment,3,3,120,"Security, Parking",150000,For Rent,2026-02-12,1250.0,2,2,3.8
Lavington,Townhouse,6,6,250,"Security, Parking",121000000,For Sale,2025-11-24,484000.0,2,11,4.5
Acacia,House,4,4,180,"Security, Parking",5800000,For Sale,2026-01-19,32222.222222222223,2,1,10.0
Karen,Villa,5,5,250,"Security, Parking",99000000,For Sale,2026-01-24,396000.0,2,1,13.5
Lavington,House,4,4,180,"Security, Parking",52000000,For Sale,2025-12-23,288888.8888888889,2,12,4.5
Nyali,House,4,4,180,"Security, Parking",170000000,For Sale,2026-01-22,944444.4444444445,2,1,10.0
Kileleshwa,Apartment,3,3,120,"Security, Parking",95000,For Rent,2026-01-12,791.6666666666666,2,1,4.2
Kileleshwa,Apartment,4,4,180,"Security, Parking",120000,For Rent,2026-01-11,666.6666666666666,2,1,4.2
Lavington,Villa,6,6,250,"Security, Parking",121000000,For Sale,2025-12-16,484000.0,2,12,4.5
Riara Rd Maziwa,Apartment,3,3,150,"Security, Parking",120000,For Rent,2025-12-23,800.0,2,12,10.0
Thindigua,Apartment,3,3,120,"Security, Parking",55000,For Rent,2026-02-16,458.3333333333333,2,2,10.0
Kilifi,Villa,5,5,250,"Security, Parking",150000000,For Sale,2026-01-20,600000.0,2,1,10.0
Kiserian,House,3,3,120,"Security, Parking",6700000,For Sale,2026-02-05,55833.333333333336,2,2,10.0
Lavington,Townhouse,4,4,180,"Security, Parking",52000000,For Sale,2025-12-06,288888.8888888889,2,12,4.5
Kitisuru,Townhouse,4,4,180,"Security, Parking",70000000,For Sale,2026-01-24,388888.8888888889,2,1,10.2
Nyali Area,House,5,5,250,"Security, Parking",100000000,For Sale,2026-02-17,400000.0,2,2,10.0
Karen,Villa,5,5,250,"Security, Parking",110000000,For Sale,2025-12-23,440000.0,2,12,13.5
Maziwa,Townhouse,5,5,250,"Security, Parking",40000000,For Sale,2025-12-23,160000.0,2,12,10.0
Shanzu,Apartment,3,3,120,"Security, Parking",100000,For Rent,2025-12-10,833.3333333333334,2,12,10.0
Balozi,Townhouse,4,4,180,"Security, Parking",85000000,For Sale,2025-12-08,472222.22222222225,2,12,10.0
Kitisuru,Townhouse,5,5,250,"Security, Parking",48000000,For Sale,2026-01-21,192000.0,2,1,10.2
Parklands,Apartment,3,3,120,"Security, Parking",120000,For Rent,2026-01-24,1000.0,2,1,4.8
Kikambala,Villa,3,3,120,"Security, Parking",95000000,For Sale,2025-12-24,791666.6666666666,2,12,10.0
Kitisuru,Villa,5,5,250,"Security, Parking",120000000,For Sale,2026-01-21,480000.0,2,1,10.2
Juja Farm Road,House,3,3,120,"Security, Parking",10500000,For Sale,2025-12-05,87500.0,2,12,10.0
Riara Rd,Apartment,3,3,120,"Security, Parking",70000,For Rent,2026-01-25,583.3333333333334,2,1,10.0
Karen,Villa,5,5,250,"Security, Parking",180000000,For Sale,2025-12-31,720000.0,2,12,13.5
Westlands,Townhouse,4,4,180,"Security, Parking",42500000,For Sale,2026-01-23,236111.11111111112,2,1,5.2
Acacia,House,3,3,120,"Security, Parking",6200000,For Sale,2025-12-23,51666.666666666664,2,12,10.0
Langata Area,Apartment,2,2,80,"Security, Parking",45000,For Rent,2025-12-09,562.5,2,12,10.0
Mbaazi Road,Apartment,3,3,158,"Security, Parking",100000,For Rent,2026-02-07,632.9113924050633,2,2,10.0
Kilimani,Apartment,3,4,120,"Security, Parking",98000,For Rent,2025-12-31,816.6666666666666,2,12,3.8
Amboseli Road,Villa,5,5,250,"Security, Parking",60000000,For Sale,2025-12-08,240000.0,2,12,10.0
Diani,Villa,3,3,120,"Security, Parking",60000000,For Sale,2026-01-21,500000.0,2,1,10.0
04,Apartment,3,3,120,"Security, Parking",100000,For Rent,2026-01-03,833.3333333333334,2,1,10.0
Kitisuru,House,5,5,250,"Security, Parking",135000000,For Sale,2026-01-11,540000.0,2,1,10.2
Lavington,Villa,5,5,250,"Security, Parking",100000000,For Sale,2025-12-24,400000.0,2,12,4.5
Nyali Area,Townhouse,4,4,180,"Security, Parking",33000000,For Sale,2025-12-26,183333.33333333334,2,12,10.0
Riverside,Apartment,3,3,120,"Security, Parking",160000,For Rent,2025-12-15,1333.3333333333333,2,12,2.5
O,House,6,6,250,"Security, Parking",150000000,For Sale,2026-02-12,600000.0,2,2,10.0
Nyali Area,Apartment,3,3,120,"Security, Parking",65000,For Rent,2025-12-09,541.6666666666666,2,12,10.0
Thindigua,House,4,4,180,"Security, Parking",50000000,For Sale,2025-12-15,277777.77777777775,2,12,10.0
Nyali Primary,Apartment,2,2,2000,"Security, Parking",55000,For Rent,2025-12-06,27.5,2,12,10.0
Dennis Pritt,Apartment,3,3,23,"Security, Parking",100000,For Rent,2025-12-01,4347.826086956522,2,12,10.0
Dennis Pritt,Apartment,3,2,120,"Security, Parking",150000,For Rent,2026-02-10,1250.0,2,2,10.0
Fourways Junction Estate,Villa,3,3,120,"Security, Parking",26000000,For Sale,2025-12-12,216666.66666666666,2,12,10.0
Runda Paradise,Townhouse,4,4,180,"Security, Parking",32000000,For Sale,2025-12-09,177777.77777777778,2,12,10.0
Parklands,Apartment,3,4,120,"Security, Parking",160000,For Rent,2026-01-07,1333.3333333333333,2,1,4.8
Kilimani,Apartment,2,2,80,"Security, Parking",60000,For Rent,2026-01-02,750.0,2,1,3.8
Vipingo,Villa,4,4,180,"Security, Parking",67000000,For Sale,2025-11-22,372222.22222222225,2,11,10.0
Lavington,Apartment,3,2,120,"Security, Parking",110000,For Rent,2026-01-08,916.6666666666666,2,1,4.5
Kiambu Road,Villa,5,5,250,"Security, Parking",65000000,For Sale,2026-01-23,260000.0,2,1,8.8
Kimuka,House,3,3,120,"Security, Parking",15000000,For Sale,2025-12-03,125000.0,2,12,10.0
Kilimani,Apartment,4,3,180,"Security, Parking",120000,For Rent,2026-02-13,666.6666666666666,2,2,3.8
Kilimani,House,4,4,180,"Security, Parking",55000000,For Sale,2026-01-05,305555.55555555556,2,1,3.8
Riverside,Apartment,1,1,50,"Security, Parking",90000,For Rent,2025-12-14,1800.0,2,12,2.5
Riverside,Apartment,3,2,120,"Security, Parking",90000,For Rent,2025-11-23,750.0,2,11,2.5
Mushroom Gardens,House,3,3,120,"Security, Parking",50000000,For Sale,2025-12-25,416666.6666666667,2,12,10.0
Peponi Road,Apartment,2,2,150,"Security, Parking",150000,For Rent,2025-12-05,1000.0,2,12,10.0
Mombasa Road,House,3,3,120,"Security, Parking",29980000,For Sale,2025-11-28,249833.33333333334,2,11,10.0
Kilimani,Apartment,2,2,80,"Security, Parking",80000,For Rent,2026-01-21,1000.0,2,1,3.8
Waiyaki Way,Apartment,2,2,80,"Security, Parking",90000,For Rent,2025-12-23,1125.0,2,12,10.0
Sandalwood,Apartment,3,3,120,"Security, Parking",115000,For Rent,2026-01-17,958.3333333333334,2,1,10.0
Ngoigwa Tola,House,5,5,250,"Security, Parking",21950000,For Sale,2026-01-04,87800.0,2,1,10.0
Kitengela,House,4,4,180,"Security, Parking",16000000,For Sale,2026-01-23,88888.88888888889,2,1,10.0
Riverside,Apartment,3,4,120,"Security, Parking",125000,For Rent,2026-01-27,1041.6666666666667,2,1,2.5
Ngong Road,House,5,5,250,"Security, Parking",30000000,For Sale,2026-01-09,120000.0,2,1,10.0
Runda,House,7,7,250,"Security, Parking",130000000,For Sale,2026-01-08,520000.0,2,1,9.8
Riverside,Apartment,3,4,24,"Security, Parking",130000,For Rent,2026-02-06,5416.666666666667,2,2,2.5
Mwimuto,Apartment,2,2,80,"Security, Parking",30000,For Rent,2025-12-19,375.0,2,12,10.0
Kiambu Road,Townhouse,4,4,180,"Security, Parking",60000000,For Sale,2025-11-23,333333.3333333333,2,11,8.8
Gigiri,House,4,4,180,"Security, Parking",120000000,For Sale,2025-12-01,666666.6666666666,2,12,8.5
Ole Dume,Apartment,3,3,23,"Security, Parking",160000,For Rent,2025-12-10,6956.521739130435,2,12,10.0
Parklands,Apartment,2,2,80,"Security, Parking",160000,For Rent,2025-12-14,2000.0,2,12,4.8
Shanzu,House,6,6,250,"Security, Parking",340000000,For Sale,2025-12-06,1360000.0,2,12,10.0
Lavington,House,5,5,250,"Security, Parking",80000000,For Sale,2026-01-07,320000.0,2,1,4.5
Lavigton,Apartment,3,2,120,"Security, Parking",80000,For Rent,2026-01-04,666.6666666666666,2,1,10.0
Ruiru,House,4,4,180,"Security, Parking",15500000,For Sale,2026-02-02,86111.11111111111,2,2,10.0
Kileleshwa,Townhouse,5,5,250,"Security, Parking",50000000,For Sale,2026-02-15,200000.0,2,2,4.2
Garden Estate,House,5,5,250,"Security, Parking",59000000,For Sale,2025-11-26,236000.0,2,11,10.0
Nyari Central Barrier One,House,4,4,180,"Security, Parking",200000000,For Sale,2025-12-16,1111111.111111111,2,12,10.0
Ruiru,House,3,3,120,"Security, Parking",8500000,For Sale,2025-11-28,70833.33333333333,2,11,10.0
Kimbo Matangi,House,5,5,250,"Security, Parking",13500000,For Sale,2026-01-16,54000.0,2,1,10.0
Gigiri,Apartment,3,2,120,"Security, Parking",160000,For Rent,2026-01-29,1333.3333333333333,2,1,8.5
Langata,House,4,4,180,"Security, Parking",39500000,For Sale,2026-01-18,219444.44444444444,2,1,11.3
Lavington,Villa,6,6,250,"Security, Parking",121000000,For Sale,2025-12-18,484000.0,2,12,4.5
Westlands,Apartment,1,2,50,"Security, Parking",120000,For Rent,2026-01-06,2400.0,2,1,5.2
Ngong,House,4,4,180,"Security, Parking",27000000,For Sale,2026-01-20,150000.0,2,1,10.0
Vipingo Beach,Villa,4,4,180,"Security, Parking",75000000,For Sale,2025-11-21,416666.6666666667,2,11,10.0
Kitengela,House,3,3,120,"Security, Parking",6000000,For Sale,2026-01-10,50000.0,2,1,10.0
Usiu Road,Apartment,3,3,120,"Security, Parking",70000,For Rent,2026-01-17,583.3333333333334,2,1,10.0
Kenpipe Gardens,House,3,3,120,"Security, Parking",10500000,For Sale,2026-01-28,87500.0,2,1,10.0
Lavington,Townhouse,5,5,250,"Security, Parking",55000000,For Sale,2026-02-12,220000.0,2,2,4.5
Maloi Apartments,Apartment,3,2,120,"Security, Parking",40000,For Rent,2025-11-19,333.3333333333333,2,11,10.0
Runda,Townhouse,4,4,180,"Security, Parking",130000000,For Sale,2025-11-23,722222.2222222222,2,11,9.8
Gravilla Estate,Apartment,2,1,80,"Security, Parking",22000,For Rent,2026-01-15,275.0,2,1,10.0
Near Yaya Center,Apartment,1,1,50,"Security, Parking",150000,For Rent,2025-12-31,3000.0,2,12,10.0
Kilimani,Apartment,5,6,300,"Security, Parking",170000,For Rent,2026-01-29,566.6666666666666,2,1,3.8
Lavington,Townhouse,5,5,250,"Security, Parking",105000000,For Sale,2025-12-20,420000.0,2,12,4.5
Kileleshwa,Apartment,2,2,80,"Security, Parking",50000,For Rent,2026-02-01,625.0,2,2,4.2
Kibokoni,Villa,4,4,180,"Security, Parking",25000000,For Sale,2026-01-31,138888.88888888888,2,1,10.0
Syokimau,House,5,5,250,"Security, Parking",16500000,For Sale,2025-12-21,66000.0,2,12,18.5
Parklands,Apartment,3,3,120,"Security, Parking",170000,For Rent,2025-11-24,1416.6666666666667,2,11,4.8
Gitanga Road,Apartment,3,2,120,"Security, Parking",120000,For Rent,2026-01-13,1000.0,2,1,10.0
Athi River,Villa,4,4,180,"Security, Parking",25000000,For Sale,2025-12-25,138888.88888888888,2,12,10.0
Lavington,Apartment,3,3,120,"Security, Parking",90000,For Rent,2026-02-12,750.0,2,2,4.5
Lavington,Apartment,2,2,80,"Security, Parking",75000,For Rent,2026-02-03,937.5,2,2,4.5
Lavington,Apartment,4,4,180,"Security, Parking",100000,For Rent,2026-01-28,555.5555555555555,2,1,4.5
Ruaka,Apartment,3,3,120,"Security, Parking",80000,For Rent,2025-11-28,666.6666666666666,2,11,12.3
School Lane,Apartment,2,2,80,"Security, Parking",150000,For Rent,2025-12-15,1875.0,2,12,10.0
Mombasa Road,Townhouse,3,3,120,"Security, Parking",14000000,For Sale,2025-11-20,116666.66666666667,2,11,10.0
Kilimani,Apartment,2,2,80,"Security, Parking",80000,For Rent,2025-12-19,1000.0,2,12,3.8
Lavington,Apartment,2,2,80,"Security, Parking",130000,For Rent,2025-12-10,1625.0,2,12,4.5
Riverside,Apartment,3,3,120,"Security, Parking",80000,For Rent,2026-02-09,666.6666666666666,2,2,2.5
Riverside,House,4,4,180,"Security, Parking",40000000,For Sale,2026-01-05,222222.22222222222,2,1,2.5
Katani,House,5,5,250,"Security, Parking",50000000,For Sale,2026-01-12,200000.0,2,1,10.0
Kamulu 26,House,3,3,120,"Security, Parking",7500000,For Sale,2025-11-27,62500.0,2,11,10.0
Near Valley Arcade Shopping Centre,Apartment,3,2,120,"Security, Parking",70000,For Rent,2025-11-29,583.3333333333334,2,11,10.0
Riverside,Apartment,3,3,120,"Security, Parking",120000,For Rent,2025-12-09,1000.0,2,12,2.5
Bofa Road,House,3,3,120,"Security, Parking",32000000,For Sale,2026-01-26,266666.6666666667,2,1,10.0
Bamburi,Villa,4,4,180,"Security, Parking",11950000,For Sale,2025-12-10,66388.88888888889,2,12,10.0
Kuruwitu,Villa,4,4,180,"Security, Parking",55000000,For Sale,2026-01-10,305555.55555555556,2,1,10.0
Links Road,Apartment,3,3,2500,"Security, Parking",40000,For Rent,2025-12-12,16.0,2,12,10.0
Brookside Drive,Apartment,3,3,120,"Security, Parking",135000,For Rent,2025-12-01,1125.0,2,12,10.0
Limuru Road,Apartment,2,2,80,"Security, Parking",45000,For Rent,2025-11-21,562.5,2,11,10.0
Thika,Villa,4,4,180,"Security, Parking",27000000,For Sale,2025-12-10,150000.0,2,12,10.0
Mtwapa,House,3,3,120,"Security, Parking",6500000,For Sale,2025-12-16,54166.666666666664,2,12,10.0
Milimani,House,3,3,120,"Security, Parking",6200000,For Sale,2025-12-03,51666.666666666664,2,12,10.0
Kilimani,Apartment,3,3,120,"Security, Parking",90000,For Rent,2026-02-14,750.0,2,2,3.8
Nyali,Apartment,3,4,2160,"Security, Parking",70000,For Rent,2026-01-12,32.407407407407405,2,1,10.0
Runda,Townhouse,4,4,180,"Security, Parking",65000000,For Sale,2025-12-29,361111.1111111111,2,12,9.8
Westlands,Apartment,1,1,2000,"Security, Parking",35000,For Rent,2026-01-06,17.5,2,1,5.2
Kiambu Road,Apartment,3,4,120,"Security, Parking",55000,For Rent,2026-01-29,458.3333333333333,2,1,8.8
Lower Kabete,House,5,5,250,"Security, Parking",190000000,For Sale,2026-02-17,760000.0,2,2,10.0
Ruaka,Apartment,3,2,120,"Security, Parking",47000,For Rent,2026-02-13,391.6666666666667,2,2,12.3
Mbagathi Ridge,House,5,5,250,"Security, Parking",299700000,For Sale,2026-01-25,1198800.0,2,1,10.0
Mbaazi,Apartment,1,1,50,"Security, Parking",65000,For Rent,2026-02-11,1300.0,2,2,10.0
Kileleshwa,Apartment,3,2,120,"Security, Parking",65000,For Rent,2025-12-20,541.6666666666666,2,12,4.2
Crystal Rivers Residency,Townhouse,3,3,120,"Security, Parking",11000000,For Sale,2025-12-08,91666.66666666667,2,12,10.0
Kasuku Center,Apartment,3,2,120,"Security, Parking",60000,For Rent,2026-01-13,500.0,2,1,10.0
Upper Hill,Apartment,2,2,80,"Security, Parking",50000,For Rent,2025-12-08,625.0,2,12,10.0
Mombasa Road,House,3,3,120,"Security, Parking",13500000,For Sale,2025-11-23,112500.0,2,11,10.0
Racecourse,Apartment,3,2,120,"Security, Parking",50000,For Rent,2026-01-06,416.6666666666667,2,1,10.0
Kileleshwa,Apartment,3,3,120,"Security, Parking",145000,For Rent,2025-11-24,1208.3333333333333,2,11,4.2
Runda,House,7,7,250,"Security, Parking",90000000,For Sale,2025-12-13,360000.0,2,12,9.8
43,House,4,4,180,"Security, Parking",32000000,For Sale,2026-01-03,177777.77777777778,2,1,10.0
Brookside Drive.,House,4,4,180,"Security, Parking",75000000,For Sale,2026-02-13,416666.6666666667,2,2,10.0
Ruiru,Townhouse,4,4,180,"Security, Parking",15000000,For Sale,2026-01-21,83333.33333333333,2,1,10.0
Kilimani,Apartment,2,2,80,"Security, Parking",125000,For Rent,2025-12-25,1562.5,2,12,3.8
Lavington,Apartment,3,3,120,"Security, Parking",95000,For Rent,2025-12-14,791.6666666666666,2,12,4.5
Kyuna,House,5,5,250,"Security, Parking",95000000,For Sale,2025-12-06,380000.0,2,12,10.0
