Location,Property_Type,Bedrooms,Bathrooms,Size_SQM,Amenities,Price_KES,Listing_Type,Listing_Date
South B,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-25
Ongata Rongai,House,3,3,0,"Security, Parking",13000000,For Sale,2026-01-21
Runda,House,4,4,0,"Security, Parking",90000000,For Sale,2025-12-13
Brookside,Apartment,4,4,4,"Security, Parking",160000,For Rent,2026-01-20
Kiambu Town,Villa,4,4,0,"Security, Parking",28500000,For Sale,2026-01-18
Kilimani,Apartment,1,1,1,"Security, Parking",55000,For Rent,2025-12-10
Nyali Area,House,6,6,0,"Security, Parking",85000000,For Sale,2025-12-31
Acacia,House,3,3,0,"Security, Parking",6200000,For Sale,2026-01-01
kilimani,Apartment,3,3,3,"Security, Parking",100000,For Rent,2026-01-18
South C,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-30
Ongata Rongai,House,4,4,0,"Security, Parking",7500000,For Sale,2026-01-29
Westlands road,Apartment,1,1,1,"Security, Parking",120000,For Rent,2026-01-15
Near Yaya Center,Apartment,1,2,1,"Security, Parking",65000,For Rent,2026-02-04
Valley Arcade,Apartment,2,2,2,"Security, Parking",65000,For Rent,2026-02-08
1,Apartment,2,1,2,"Security, Parking",60000,For Rent,2025-12-03
Thindigua,Apartment,3,2,3,"Security, Parking",56000,For Rent,2025-12-15
Laikipia,Apartment,2,2,2,"Security, Parking",150000,For Rent,2026-02-01
Kilimani,Apartment,3,4,227,"Security, Parking",135000,For Rent,2025-12-02
lavington,Apartment,3,2,3,"Security, Parking",65000,For Rent,2026-01-10
Hurlingham,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-13
Along Kikuyu Road,Apartment,2,1,2,"Security, Parking",16000,For Rent,2025-11-26
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-18
dickdick gardens,Townhouse,4,4,0,"Security, Parking",200000000,For Sale,2026-01-26
Mwimuto,Apartment,2,2,2,"Security, Parking",55000,For Rent,2026-01-17
Westlands,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-11
Kilimani,Apartment,3,3,3,"Security, Parking",180000,For Rent,2025-12-10
Rosslyn,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-25
Kenpipe Gardens,Townhouse,4,4,0,"Security, Parking",11250000,For Sale,2026-02-13
Kasarani Area,Apartment,1,1,1,"Security, Parking",16000,For Rent,2025-12-30
South B,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-06
Lower Kabete,Apartment,3,3,3,"Security, Parking",140000,For Rent,2025-12-21
Kitisuru,House,5,5,0,"Security, Parking",85000000,For Sale,2026-02-08
Fouways Junction Estate,Townhouse,4,4,0,"Security, Parking",30000000,For Sale,2026-01-05
Kileleshwa,Apartment,1,1,1,"Security, Parking",35000,For Rent,2026-02-15
Ruiru,Villa,4,4,0,"Security, Parking",13800000,For Sale,2025-12-07
Rosslyn,House,5,5,0,"Security, Parking",90000000,For Sale,2026-02-10
Ruaka,Apartment,3,3,3,"Security, Parking",51000,For Rent,2025-11-28
Othaya Road,Apartment,4,6,4,"Security, Parking",160000,For Rent,2026-01-28
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-13
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-27
Westlands Area,Apartment,2,2,2,"Security, Parking",60000,For Rent,2025-11-27
Kitengela,House,3,3,0,"Security, Parking",6500000,For Sale,2026-01-08
Mvuli road,Apartment,3,2,3,"Security, Parking",160000,For Rent,2025-11-26
Runda,House,5,5,0,"Security, Parking",75000000,For Sale,2026-02-06
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-17
Parklands,House,4,4,0,"Security, Parking",0,For Sale,2025-11-21
lavigton,Apartment,3,2,3,"Security, Parking",80000,For Rent,2026-01-10
General Mathege,Apartment,3,3,175,"Security, Parking",170000,For Rent,2026-01-09
Karen,House,6,6,0,"Security, Parking",180000000,For Sale,2026-02-11
Raphta Road,Apartment,3,3,3,"Security, Parking",132000,For Rent,2026-01-05
89,House,7,7,0,"Security, Parking",130000000,For Sale,2026-01-11
Hurlingham,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-02
Karen,House,5,5,0,"Security, Parking",85000000,For Sale,2026-02-04
lavington,Apartment,3,2,3,"Security, Parking",80000,For Rent,2026-01-07
Kilimani,Apartment,3,2,3,"Security, Parking",110000,For Rent,2025-12-25
lavington,Townhouse,4,4,0,"Security, Parking",70000000,For Sale,2025-12-20
Kitengela,House,4,4,0,"Security, Parking",7400000,For Sale,2026-01-23
Lusigetti,House,3,3,0,"Security, Parking",12100000,For Sale,2025-12-06
Ukunda,House,4,4,0,"Security, Parking",36000000,For Sale,2026-01-10
Nairobi West,Apartment,0,1,0,"Security, Parking",24000,For Rent,2026-01-27
Kileleshwa,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-11
Garden Estate,Villa,4,4,0,"Security, Parking",27000000,For Sale,2025-11-19
Ngong - Matasia road,House,4,4,0,"Security, Parking",7400000,For Sale,2026-01-16
Suguta Road,Apartment,3,4,3,"Security, Parking",95000,For Rent,2026-02-07
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-04
Rhapta Road,Apartment,3,3,3,"Security, Parking",80000,For Rent,2026-02-16
Mtwapa,Villa,4,4,0,"Security, Parking",85000000,For Sale,2026-02-05
Links road,Apartment,2,2,200,"Security, Parking",28000,For Rent,2025-12-17
Ngong Road,Apartment,2,1,2,"Security, Parking",45000,For Rent,2025-12-11
Mandera Road,Apartment,2,3,124,"Security, Parking",100000,For Rent,2026-02-07
Ngong,House,4,4,0,"Security, Parking",14500000,For Sale,2025-11-23
South C,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-17
mugutha,House,3,3,0,"Security, Parking",8500000,For Sale,2025-12-27
Kilimani,Apartment,3,4,3,"Security, Parking",100000,For Rent,2025-11-26
Shanzu,House,2,2,0,"Security, Parking",12000000,For Sale,2026-01-03
Rhapta road,Apartment,3,4,3,"Security, Parking",110000,For Rent,2026-02-10
Ngong,House,4,4,0,"Security, Parking",16500000,For Sale,2025-12-19
Ruaka,Apartment,2,2,2,"Security, Parking",45000,For Rent,2026-02-05
Mtwapa,House,3,3,0,"Security, Parking",39000000,For Sale,2026-01-03
Fivestar Road,Townhouse,4,4,0,"Security, Parking",20950000,For Sale,2026-02-12
Kibiku,Villa,4,4,0,"Security, Parking",42000000,For Sale,2025-11-19
Ongata Rongai,House,3,3,0,"Security, Parking",6500000,For Sale,2025-11-22
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-28
Spring Valley,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-03
Kindaruma rd,Apartment,1,1,90,"Security, Parking",110000,For Rent,2025-12-12
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-05
Greenpark Great Rift valley Lodge,House,4,4,0,"Security, Parking",90000000,For Sale,2026-01-30
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-08
Lavington,Villa,6,6,0,"Security, Parking",110000000,For Sale,2025-12-02
Vipingo,House,3,3,0,"Security, Parking",14800000,For Sale,2025-12-12
Westlands Area,Apartment,2,2,2,"Security, Parking",150000,For Rent,2025-12-07
Imara Daima,House,5,5,0,"Security, Parking",18500000,For Sale,2025-11-22
Rongai,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-03
off Church road,Apartment,2,3,2,"Security, Parking",85000,For Rent,2025-12-09
Parklands,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-12
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-17
Riverside,Apartment,3,4,3,"Security, Parking",130000,For Rent,2026-01-28
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-11
Runda,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-08
Spring Valley,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-25
Off Paradise Lost Road,House,4,4,0,"Security, Parking",29000000,For Sale,2026-02-10
East Church Road,Apartment,3,2,3,"Security, Parking",70000,For Rent,2025-12-10
Jumba Ruins,Villa,4,4,0,"Security, Parking",45000000,For Sale,2026-02-01
Ngong Racecourse,Apartment,3,2,117,"Security, Parking",66000,For Rent,2025-12-24
Westlands Area,House,5,5,0,"Security, Parking",118000000,For Sale,2025-11-25
Valley Arcade,Apartment,3,2,125,"Security, Parking",70000,For Rent,2026-02-06
Valley Arcade,Apartment,3,4,3,"Security, Parking",95000,For Rent,2025-12-08
Old Nyali,House,3,3,0,"Security, Parking",30000000,For Sale,2026-01-31
Brookside Drie,Apartment,3,3,3,"Security, Parking",180000,For Rent,2026-02-13
Rhaphta Road,Apartment,3,1,3,"Security, Parking",55000,For Rent,2026-02-14
Lavington,Townhouse,4,4,0,"Security, Parking",85000000,For Sale,2025-12-08
Brookside,Apartment,3,3,3,"Security, Parking",100000,For Rent,2025-12-01
Syokimau,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-08
kileleshwa,Apartment,2,2,2,"Security, Parking",60000,For Rent,2025-12-05
Kileleshwa,Apartment,3,2,3,"Security, Parking",130000,For Rent,2025-12-30
Kenpipe Gardens,Townhouse,3,3,0,"Security, Parking",10000000,For Sale,2025-12-11
Kitengela,House,3,3,0,"Security, Parking",10500000,For Sale,2026-02-07
Vipingo Drive,House,3,3,0,"Security, Parking",40000000,For Sale,2025-12-02
Nairobi West,Apartment,3,2,3,"Security, Parking",50000,For Rent,2026-01-19
Riverside,Apartment,3,3,418,"Security, Parking",110000,For Rent,2025-12-28
Ruiru,House,3,3,0,"Security, Parking",6300000,For Sale,2025-12-24
Kiambu Rd,Apartment,3,3,3,"Security, Parking",55000,For Rent,2026-01-02
Ngong,Apartment,1,1,1,"Security, Parking",16000,For Rent,2026-02-14
Lavington,Townhouse,5,5,0,"Security, Parking",75000000,For Sale,2026-01-04
South C,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-03
Loresho,Townhouse,4,4,0,"Security, Parking",130000000,For Sale,2025-11-25
nairobi namanga,Townhouse,3,3,0,"Security, Parking",12000000,For Sale,2026-02-11
Valley Arcade,Apartment,3,4,260,"Security, Parking",100000,For Rent,2026-01-25
Kiambu Road,Townhouse,4,4,0,"Security, Parking",32000000,For Sale,2025-12-01
Westlands Area,Villa,5,5,0,"Security, Parking",55000000,For Sale,2026-01-05
Ruaka,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-16
Nyari,House,5,5,0,"Security, Parking",145000000,For Sale,2025-12-17
Zambia Road,Apartment,3,3,3,"Security, Parking",50000,For Rent,2025-12-17
South C,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-05
Fahari Palace Apartments,Apartment,1,1,1,"Security, Parking",100000,For Rent,2025-11-28
Garden Estate,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-01
Kilimani,House,4,4,0,"Security, Parking",36000000,For Sale,2025-12-07
90,House,6,6,0,"Security, Parking",295000000,For Sale,2025-11-25
Westlands Area,Apartment,3,3,3,"Security, Parking",170000,For Rent,2025-12-15
Kilimani,Apartment,3,4,300,"Security, Parking",140000,For Rent,2025-12-22
Fair acre road,House,4,4,0,"Security, Parking",65000000,For Sale,2025-12-10
Vipingo,House,4,4,0,"Security, Parking",25000000,For Sale,2026-02-14
Kileleshwa,Apartment,1,1,1,"Security, Parking",100000,For Rent,2026-01-12
Chalbi Drive,House,4,4,0,"Security, Parking",66000000,For Sale,2026-02-14
kilimani,Apartment,2,2,2,"Security, Parking",60000,For Rent,2026-02-11
Mugumo Road,Townhouse,5,5,0,"Security, Parking",75000000,For Sale,2025-12-05
Syokimau,Apartment,2,2,2,"Security, Parking",28000,For Rent,2025-12-16
Lower Kabete,Townhouse,5,5,0,"Security, Parking",260000000,For Sale,2026-02-08
Thindigua,Apartment,3,3,3,"Security, Parking",65000,For Rent,2026-01-02
Kileleshwa,House,3,3,0,"Security, Parking",45000000,For Sale,2026-02-12
Thika Road,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-09
Karen,Apartment,0,1,0,"Security, Parking",0,For Sale,2025-12-04
Kisumu,Townhouse,6,6,0,"Security, Parking",70000000,For Sale,2025-12-02
Coffee Gardens - Muthaiga North,House,4,4,0,"Security, Parking",115000000,For Sale,2025-12-20
South B,House,4,4,0,"Security, Parking",28500000,For Sale,2025-12-16
Lavington,Townhouse,5,5,0,"Security, Parking",65000000,For Sale,2026-01-08
ACACIA,House,5,5,0,"Security, Parking",11000000,For Sale,2026-01-22
Nyali Area,Townhouse,4,4,0,"Security, Parking",110000000,For Sale,2025-11-29
Citymall,House,4,4,0,"Security, Parking",56000000,For Sale,2025-12-28
Westlands Area,Apartment,4,4,4,"Security, Parking",130000,For Rent,2026-01-16
Runda,House,5,5,0,"Security, Parking",100000000,For Sale,2026-01-04
Runda,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-27
Buruburu,House,3,3,0,"Security, Parking",10000000,For Sale,2026-02-05
Kileleshwa,Apartment,2,2,140,"Security, Parking",70000,For Rent,2025-12-12
Ngong,Townhouse,4,4,0,"Security, Parking",17500000,For Sale,2026-01-01
Bofa,Villa,4,4,0,"Security, Parking",140000000,For Sale,2026-01-23
Riverside,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-08
Mbaazi,Apartment,2,2,2,"Security, Parking",80000,For Rent,2026-02-02
Kyuna,Apartment,3,3,3,"Security, Parking",150000,For Rent,2026-01-03
Donholm,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-23
1,Apartment,3,4,270,"Security, Parking",150000,For Rent,2025-11-20
Lavington,Townhouse,5,5,0,"Security, Parking",95000000,For Sale,2025-11-22
Westlands Area,Apartment,3,3,3,"Security, Parking",150000,For Rent,2025-12-12
Nyali Area,Townhouse,3,3,0,"Security, Parking",20000000,For Sale,2025-11-25
Loresho,Townhouse,4,4,0,"Security, Parking",150000000,For Sale,2025-11-22
Lavington,Townhouse,4,4,0,"Security, Parking",68000000,For Sale,2026-02-10
Fourways Junction Estate,House,4,4,0,"Security, Parking",29000000,For Sale,2025-12-12
Ruiru,House,4,4,0,"Security, Parking",10500000,For Sale,2026-01-24
Rhapta Road,Apartment,4,3,4,"Security, Parking",130000,For Rent,2026-02-14
Kikambala Road,Apartment,2,2,2,"Security, Parking",70000,For Rent,2026-01-24
Kasarani,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-11
Lower Kabete,House,5,5,0,"Security, Parking",150000000,For Sale,2026-01-30
Laikipia Rd,Apartment,2,2,12,"Security, Parking",120000,For Rent,2026-01-10
Kitengela,House,5,5,0,"Security, Parking",16499000,For Sale,2026-02-04
Loresho,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-08
Vipingo,Villa,5,5,0,"Security, Parking",100000000,For Sale,2026-02-07
Nyali Area,Townhouse,4,4,0,"Security, Parking",35000000,For Sale,2025-12-02
Garden Estate,House,4,4,0,"Security, Parking",55000000,For Sale,2026-01-02
Thika Road,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-08
Ngumo Central,Apartment,1,1,18,"Security, Parking",27000,For Rent,2026-02-02
Riverside,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-23
Langata,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-29
Nyali Area,House,5,5,0,"Security, Parking",70000000,For Sale,2026-01-30
Diani,House,10,10,0,"Security, Parking",0,For Sale,2026-02-17
Riverside Place Apartment,Apartment,3,3,3,"Security, Parking",125000,For Rent,2026-01-17
Lavington,Apartment,0,1,0,"Security, Parking",0,For Sale,2026-02-01
Kilimani,Apartment,3,4,300,"Security, Parking",100000,For Rent,2025-12-02
6Th Parklands,Apartment,3,3,260,"Security, Parking",165000,For Rent,2025-12-26
South B,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-08
Rhapta Road,House,4,4,0,"Security, Parking",38000000,For Sale,2025-12-03
Kiambu Road,Villa,4,4,0,"Security, Parking",29400000,For Sale,2026-02-13
Langata,Townhouse,5,5,0,"Security, Parking",27000000,For Sale,2026-01-13
Kileleshwa,Apartment,3,2,3,"Security, Parking",140000,For Rent,2026-01-03
Ruiru,House,3,3,0,"Security, Parking",8500000,For Sale,2025-12-31
O,House,7,7,0,"Security, Parking",170000000,For Sale,2026-02-10
Suguta Road,Apartment,1,1,1,"Security, Parking",90000,For Rent,2026-02-16
Karen,Apartment,2,3,2,"Security, Parking",150000,For Rent,2026-01-13
Kitengela,House,3,3,0,"Security, Parking",6400000,For Sale,2026-01-22
Membley,Villa,4,4,0,"Security, Parking",18500000,For Sale,2026-01-19
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-10
Diani,House,3,3,0,"Security, Parking",25000000,For Sale,2025-11-28
Near Nairobi Jaffery School,Villa,6,6,0,"Security, Parking",150000000,For Sale,2026-01-01
Westlands Area,Apartment,3,2,3,"Security, Parking",115000,For Rent,2025-12-22
Brookside,Apartment,3,3,3,"Security, Parking",140000,For Rent,2026-01-31
Riverside,Apartment,1,2,9,"Security, Parking",90000,For Rent,2026-02-08
Lavington,Townhouse,6,6,0,"Security, Parking",55000000,For Sale,2025-12-04
Grivelia grove westland,Townhouse,4,4,0,"Security, Parking",48000000,For Sale,2025-12-16
Aloo drive,Villa,4,4,0,"Security, Parking",35000000,For Sale,2026-01-31
Lavington,House,6,6,0,"Security, Parking",121000000,For Sale,2026-01-03
Kilimani,Apartment,3,3,3,"Security, Parking",130000,For Rent,2025-12-15
Non,Villa,4,4,0,"Security, Parking",150000000,For Sale,2025-12-11
Ngong,Villa,4,4,0,"Security, Parking",14500000,For Sale,2025-12-31
Westlands,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-30
Kilimani,Apartment,2,2,2,"Security, Parking",110000,For Rent,2025-12-29
Makueni Rd,Apartment,3,4,180,"Security, Parking",130000,For Rent,2026-01-22
acacia,House,4,4,0,"Security, Parking",6000000,For Sale,2026-02-11
Hurlingham,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-26
Garden Estate,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-07
Karen,Apartment,2,2,2,"Security, Parking",100000,For Rent,2026-01-24
Kilimani,Apartment,2,2,2,"Security, Parking",150000,For Rent,2026-01-11
Mamba village,Apartment,3,2,2500,"Security, Parking",35000,For Rent,2026-01-29
Kyuna Close,Townhouse,6,6,0,"Security, Parking",295000000,For Sale,2026-01-29
Kikambala,Villa,4,4,0,"Security, Parking",85000000,For Sale,2025-12-08
1,Villa,4,4,0,"Security, Parking",10500000,For Sale,2026-01-27
Garden Estate,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-22
Rhapta Rd,Apartment,3,3,3,"Security, Parking",115000,For Rent,2025-12-25
Mtwapa,Townhouse,3,3,0,"Security, Parking",6500000,For Sale,2025-11-23
Westlands Area,Apartment,3,3,3,"Security, Parking",90000,For Rent,2025-12-20
Runda,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-13
Kilimani,Apartment,3,3,3,"Security, Parking",150000,For Rent,2026-02-12
Lavington,Townhouse,6,6,0,"Security, Parking",121000000,For Sale,2025-11-24
South C,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-09
ACACIA,House,4,4,0,"Security, Parking",5800000,For Sale,2026-01-19
Karen,Villa,5,5,0,"Security, Parking",99000000,For Sale,2026-01-24
Lavington,House,4,4,0,"Security, Parking",52000000,For Sale,2025-12-23
Nyali,House,4,4,0,"Security, Parking",170000000,For Sale,2026-01-22
Kileleshwa,Apartment,3,3,3,"Security, Parking",95000,For Rent,2026-01-12
kileleshwa,Apartment,4,4,4,"Security, Parking",120000,For Rent,2026-01-11
Lavington,Villa,6,6,0,"Security, Parking",121000000,For Sale,2025-12-16
Riara Rd Maziwa,Apartment,3,3,150,"Security, Parking",120000,For Rent,2025-12-23
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-22
Thindigua,Apartment,3,3,3,"Security, Parking",55000,For Rent,2026-02-16
Kilifi,Villa,5,5,0,"Security, Parking",150000000,For Sale,2026-01-20
Kiserian,House,3,3,0,"Security, Parking",6700000,For Sale,2026-02-05
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-15
Lavington,Townhouse,4,4,0,"Security, Parking",52000000,For Sale,2025-12-06
Thika Road,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-02
Kitisuru,Townhouse,4,4,0,"Security, Parking",70000000,For Sale,2026-01-24
Nyali Area,House,5,5,0,"Security, Parking",100000000,For Sale,2026-02-17
Karen,Villa,5,5,0,"Security, Parking",110000000,For Sale,2025-12-23
Maziwa,Townhouse,5,5,0,"Security, Parking",40000000,For Sale,2025-12-23
Muthaiga,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-11
Shanzu,Apartment,3,3,3,"Security, Parking",100000,For Rent,2025-12-10
balozi,Townhouse,4,4,0,"Security, Parking",85000000,For Sale,2025-12-08
Kitisuru,Townhouse,5,5,0,"Security, Parking",48000000,For Sale,2026-01-21
Parklands,Apartment,3,3,3,"Security, Parking",120000,For Rent,2026-01-24
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-26
Kikambala,Villa,3,3,0,"Security, Parking",95000000,For Sale,2025-12-24
Kitisuru,Villa,5,5,0,"Security, Parking",120000000,For Sale,2026-01-21
Juja Farm Road,House,3,3,0,"Security, Parking",10500000,For Sale,2025-12-05
Riara Rd,Apartment,3,3,3,"Security, Parking",70000,For Rent,2026-01-25
Karen,Villa,5,5,0,"Security, Parking",180000000,For Sale,2025-12-31
Westlands Area,Townhouse,4,4,0,"Security, Parking",42500000,For Sale,2026-01-23
ACACIA,House,3,3,0,"Security, Parking",6200000,For Sale,2025-12-23
Langata Area,Apartment,2,2,2,"Security, Parking",45000,For Rent,2025-12-09
Mbaazi road,Apartment,3,3,158,"Security, Parking",100000,For Rent,2026-02-07
Kilimani,Apartment,3,4,3,"Security, Parking",98000,For Rent,2025-12-31
Muthaiga,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-07
amboseli road,Villa,5,5,0,"Security, Parking",60000000,For Sale,2025-12-08
Diani,Villa,3,3,0,"Security, Parking",60000000,For Sale,2026-01-21
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-05
Donholm,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-19
04,Apartment,3,3,3,"Security, Parking",100000,For Rent,2026-01-03
Kitisuru,House,5,5,0,"Security, Parking",135000000,For Sale,2026-01-11
Lavington,Villa,5,5,0,"Security, Parking",100000000,For Sale,2025-12-24
Nyali Area,Townhouse,4,4,0,"Security, Parking",33000000,For Sale,2025-12-26
Riverside,Apartment,3,3,3,"Security, Parking",160000,For Rent,2025-12-15
O,House,6,6,0,"Security, Parking",150000000,For Sale,2026-02-12
Donholm,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-29
Nyali Area,Apartment,3,3,3,"Security, Parking",65000,For Rent,2025-12-09
Thindigua,House,4,4,0,"Security, Parking",50000000,For Sale,2025-12-15
Nyali primary,Apartment,2,2,2000,"Security, Parking",55000,For Rent,2025-12-06
Dennis Pritt,Apartment,3,3,23,"Security, Parking",100000,For Rent,2025-12-01
Muthaiga,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-14
Dennis Pritt,Apartment,3,2,3,"Security, Parking",150000,For Rent,2026-02-10
Diani,Villa,2,2,0,"Security, Parking",0,For Sale,2026-01-28
Fourways Junction Estate,Villa,3,3,0,"Security, Parking",26000000,For Sale,2025-12-12
Runda Paradise,Townhouse,4,4,0,"Security, Parking",32000000,For Sale,2025-12-09
Parklands,Apartment,3,4,3,"Security, Parking",160000,For Rent,2026-01-07
Kilimani,Apartment,2,2,2,"Security, Parking",60000,For Rent,2026-01-02
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-01
Vipingo,Villa,4,4,0,"Security, Parking",67000000,For Sale,2025-11-22
Lavington,Apartment,3,2,3,"Security, Parking",110000,For Rent,2026-01-08
Kiambu Road,Villa,5,5,0,"Security, Parking",65000000,For Sale,2026-01-23
Kimuka,House,3,3,0,"Security, Parking",15000000,For Sale,2025-12-03
Kilimani,Apartment,4,3,4,"Security, Parking",120000,For Rent,2026-02-13
Kilimani,House,4,4,0,"Security, Parking",55000000,For Sale,2026-01-05
Riverside Drive,Apartment,1,1,1,"Security, Parking",90000,For Rent,2025-12-14
Riverside,Apartment,3,2,3,"Security, Parking",90000,For Rent,2025-11-23
Mushroom Gardens,House,3,3,0,"Security, Parking",50000000,For Sale,2025-12-25
Peponi Road,Apartment,2,2,150,"Security, Parking",150000,For Rent,2025-12-05
Mombasa Road,House,3,3,0,"Security, Parking",29980000,For Sale,2025-11-28
kilimani,Apartment,2,2,2,"Security, Parking",80000,For Rent,2026-01-21
Waiyaki Way,Apartment,2,2,2,"Security, Parking",90000,For Rent,2025-12-23
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-05
Sandalwood,Apartment,3,3,3,"Security, Parking",115000,For Rent,2026-01-17
Ngoigwa Tola,House,5,5,0,"Security, Parking",21950000,For Sale,2026-01-04
Nyali,Villa,10,10,0,"Security, Parking",600000000,For Sale,2025-11-28
Kitengela,House,4,4,0,"Security, Parking",16000000,For Sale,2026-01-23
Riverside,Apartment,3,4,3,"Security, Parking",125000,For Rent,2026-01-27
Ngong Road,House,5,5,0,"Security, Parking",30000000,For Sale,2026-01-09
Runda,House,7,7,0,"Security, Parking",130000000,For Sale,2026-01-08
Riverside Drive,Apartment,3,4,24,"Security, Parking",130000,For Rent,2026-02-06
Mwimuto,Apartment,2,2,2,"Security, Parking",30000,For Rent,2025-12-19
Kiambu Road,Townhouse,4,4,0,"Security, Parking",60000000,For Sale,2025-11-23
Gigiri,House,4,4,0,"Security, Parking",120000000,For Sale,2025-12-01
Ole Dume,Apartment,3,3,23,"Security, Parking",160000,For Rent,2025-12-10
General Mathenge,Apartment,2,2,16,"Security, Parking",160000,For Rent,2025-12-14
shanzu,House,6,6,0,"Security, Parking",340000000,For Sale,2025-12-06
Lavington,House,5,5,0,"Security, Parking",80000000,For Sale,2026-01-07
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-04
lavigton,Apartment,3,2,3,"Security, Parking",80000,For Rent,2026-01-04
Ruiru,House,4,4,0,"Security, Parking",15500000,For Sale,2026-02-02
Kileleshwa,Townhouse,5,5,0,"Security, Parking",50000000,For Sale,2026-02-15
Garden Estate,House,5,5,0,"Security, Parking",59000000,For Sale,2025-11-26
Nyari Central barrier one,House,4,4,0,"Security, Parking",200000000,For Sale,2025-12-16
Ruiru,House,3,3,0,"Security, Parking",8500000,For Sale,2025-11-28
Kimbo Matangi,House,5,5,0,"Security, Parking",13500000,For Sale,2026-01-16
Gigiri,Apartment,3,2,3,"Security, Parking",160000,For Rent,2026-01-29
Langata,House,4,4,0,"Security, Parking",39500000,For Sale,2026-01-18
Parklands,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-07
Lavington,Villa,6,6,0,"Security, Parking",121000000,For Sale,2025-12-18
Muthaiga,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-24
Westlands Area,Apartment,1,2,1,"Security, Parking",120000,For Rent,2026-01-06
Ngong,House,4,4,0,"Security, Parking",27000000,For Sale,2026-01-20
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-29
Vipingo Beach,Villa,4,4,0,"Security, Parking",75000000,For Sale,2025-11-21
Kitengela,House,3,3,0,"Security, Parking",6000000,For Sale,2026-01-10
Usiu Road,Apartment,3,3,3,"Security, Parking",70000,For Rent,2026-01-17
